Update,Genotype,Interior Propagule Count
6920,Propagule Knockout,0
6928,Propagule Knockout,0
6936,Propagule Knockout,0
6944,Propagule Knockout,0
6952,Propagule Knockout,0
6960,Propagule Knockout,0
6968,Propagule Knockout,2
6976,Propagule Knockout,0
6984,Propagule Knockout,0
6992,Propagule Knockout,0
7000,Propagule Knockout,0
7008,Propagule Knockout,0
7016,Propagule Knockout,0
7024,Propagule Knockout,0
7032,Propagule Knockout,0
7040,Propagule Knockout,0
7048,Propagule Knockout,0
7056,Propagule Knockout,0
7064,Propagule Knockout,0
7072,Propagule Knockout,0
7080,Propagule Knockout,0
7088,Propagule Knockout,0
7096,Propagule Knockout,0
7104,Propagule Knockout,0
7112,Propagule Knockout,0
7120,Propagule Knockout,0
7128,Propagule Knockout,0
7136,Propagule Knockout,0
7144,Propagule Knockout,0
7152,Propagule Knockout,0
7160,Propagule Knockout,0
7168,Propagule Knockout,0
7176,Propagule Knockout,0
7184,Propagule Knockout,0
7192,Propagule Knockout,0
7200,Propagule Knockout,0
7208,Propagule Knockout,0
7216,Propagule Knockout,0
7224,Propagule Knockout,0
7232,Propagule Knockout,0
7240,Propagule Knockout,0
7248,Propagule Knockout,0
7256,Propagule Knockout,0
7264,Propagule Knockout,0
7272,Propagule Knockout,0
7280,Propagule Knockout,0
7288,Propagule Knockout,0
7296,Propagule Knockout,0
7304,Propagule Knockout,0
7312,Propagule Knockout,0
7320,Propagule Knockout,0
7328,Propagule Knockout,0
7336,Propagule Knockout,0
7344,Propagule Knockout,0
7352,Propagule Knockout,0
7360,Propagule Knockout,0
7368,Propagule Knockout,0
7376,Propagule Knockout,0
7384,Propagule Knockout,0
7392,Propagule Knockout,0
7400,Propagule Knockout,0
7408,Propagule Knockout,0
7416,Propagule Knockout,0
7424,Propagule Knockout,0
7432,Propagule Knockout,0
7440,Propagule Knockout,0
7448,Propagule Knockout,0
7456,Propagule Knockout,0
7464,Propagule Knockout,0
7472,Propagule Knockout,0
7480,Propagule Knockout,0
7488,Propagule Knockout,0
7496,Propagule Knockout,0
7504,Propagule Knockout,0
7512,Propagule Knockout,0
7520,Propagule Knockout,0
7528,Propagule Knockout,0
7536,Propagule Knockout,0
7544,Propagule Knockout,0
7552,Propagule Knockout,0
7560,Propagule Knockout,0
7568,Propagule Knockout,0
7576,Propagule Knockout,0
7584,Propagule Knockout,0
7592,Propagule Knockout,0
7600,Propagule Knockout,0
7608,Propagule Knockout,0
7616,Propagule Knockout,0
7624,Propagule Knockout,0
7632,Propagule Knockout,0
7640,Propagule Knockout,0
7648,Propagule Knockout,0
7656,Propagule Knockout,0
7664,Propagule Knockout,0
7672,Propagule Knockout,0
7680,Propagule Knockout,0
7688,Propagule Knockout,0
7696,Propagule Knockout,0
7704,Propagule Knockout,0
7712,Propagule Knockout,0
7720,Propagule Knockout,0
7728,Propagule Knockout,0
7736,Propagule Knockout,0
7744,Propagule Knockout,0
7752,Propagule Knockout,0
7760,Propagule Knockout,0
7768,Propagule Knockout,0
7776,Propagule Knockout,0
7784,Propagule Knockout,0
7792,Propagule Knockout,0
7800,Propagule Knockout,0
7808,Propagule Knockout,0
7816,Propagule Knockout,0
7824,Propagule Knockout,0
7832,Propagule Knockout,0
7840,Propagule Knockout,0
7848,Propagule Knockout,0
7856,Propagule Knockout,0
7864,Propagule Knockout,0
7872,Propagule Knockout,0
7880,Propagule Knockout,0
7888,Propagule Knockout,0
7896,Propagule Knockout,0
7904,Propagule Knockout,0
7912,Propagule Knockout,0
7920,Propagule Knockout,0
7928,Propagule Knockout,0
7936,Propagule Knockout,0
7944,Propagule Knockout,0
7952,Propagule Knockout,0
7960,Propagule Knockout,0
7968,Propagule Knockout,0
7976,Propagule Knockout,0
7984,Propagule Knockout,0
7992,Propagule Knockout,0
8000,Propagule Knockout,0
8008,Propagule Knockout,0
8016,Propagule Knockout,0
8024,Propagule Knockout,0
8032,Propagule Knockout,0
8040,Propagule Knockout,0
8048,Propagule Knockout,0
8056,Propagule Knockout,0
8064,Propagule Knockout,0
8072,Propagule Knockout,0
8080,Propagule Knockout,0
8088,Propagule Knockout,0
8096,Propagule Knockout,0
8104,Propagule Knockout,0
8112,Propagule Knockout,0
8120,Propagule Knockout,0
8128,Propagule Knockout,0
8136,Propagule Knockout,0
8144,Propagule Knockout,0
8152,Propagule Knockout,0
8160,Propagule Knockout,0
8168,Propagule Knockout,0
8176,Propagule Knockout,0
8184,Propagule Knockout,0
4096,Regulation Knockout,1
4104,Regulation Knockout,0
4112,Regulation Knockout,0
4120,Regulation Knockout,0
4128,Regulation Knockout,0
4136,Regulation Knockout,0
4144,Regulation Knockout,0
4152,Regulation Knockout,0
4160,Regulation Knockout,0
4168,Regulation Knockout,0
4176,Regulation Knockout,0
4184,Regulation Knockout,0
4192,Regulation Knockout,0
4200,Regulation Knockout,0
4208,Regulation Knockout,0
4216,Regulation Knockout,0
4224,Regulation Knockout,0
4232,Regulation Knockout,0
4240,Regulation Knockout,0
4248,Regulation Knockout,0
4256,Regulation Knockout,0
4264,Regulation Knockout,0
4272,Regulation Knockout,0
4280,Regulation Knockout,0
4288,Regulation Knockout,0
4296,Regulation Knockout,0
4304,Regulation Knockout,0
4312,Regulation Knockout,0
4320,Regulation Knockout,0
4328,Regulation Knockout,0
4336,Regulation Knockout,0
4344,Regulation Knockout,0
4352,Regulation Knockout,0
4360,Regulation Knockout,0
4368,Regulation Knockout,0
4376,Regulation Knockout,0
4384,Regulation Knockout,0
4392,Regulation Knockout,0
4400,Regulation Knockout,0
4408,Regulation Knockout,0
4416,Regulation Knockout,0
4424,Regulation Knockout,0
4432,Regulation Knockout,0
4440,Regulation Knockout,0
4448,Regulation Knockout,0
4456,Regulation Knockout,0
4464,Regulation Knockout,0
4472,Regulation Knockout,0
4480,Regulation Knockout,0
4488,Regulation Knockout,0
4496,Regulation Knockout,0
4504,Regulation Knockout,0
4512,Regulation Knockout,0
4520,Regulation Knockout,0
4528,Regulation Knockout,0
4536,Regulation Knockout,0
4544,Regulation Knockout,0
4552,Regulation Knockout,0
4560,Regulation Knockout,0
4568,Regulation Knockout,0
4576,Regulation Knockout,0
4584,Regulation Knockout,0
4592,Regulation Knockout,0
4600,Regulation Knockout,0
4608,Regulation Knockout,0
4616,Regulation Knockout,0
4624,Regulation Knockout,0
4632,Regulation Knockout,0
4640,Regulation Knockout,0
4648,Regulation Knockout,0
4656,Regulation Knockout,0
4664,Regulation Knockout,0
4672,Regulation Knockout,0
4680,Regulation Knockout,0
4688,Regulation Knockout,0
4696,Regulation Knockout,0
4704,Regulation Knockout,0
4712,Regulation Knockout,0
4720,Regulation Knockout,0
4728,Regulation Knockout,0
4736,Regulation Knockout,0
4744,Regulation Knockout,0
4752,Regulation Knockout,0
4760,Regulation Knockout,0
4768,Regulation Knockout,0
4776,Regulation Knockout,0
4784,Regulation Knockout,0
4792,Regulation Knockout,0
4800,Regulation Knockout,0
4808,Regulation Knockout,0
4816,Regulation Knockout,0
4824,Regulation Knockout,0
4832,Regulation Knockout,0
4840,Regulation Knockout,0
4848,Regulation Knockout,0
4856,Regulation Knockout,0
4864,Regulation Knockout,0
4872,Regulation Knockout,0
4880,Regulation Knockout,0
4888,Regulation Knockout,0
4896,Regulation Knockout,0
4904,Regulation Knockout,0
4912,Regulation Knockout,0
4920,Regulation Knockout,0
4928,Regulation Knockout,0
4936,Regulation Knockout,0
4944,Regulation Knockout,0
4952,Regulation Knockout,0
4960,Regulation Knockout,0
4968,Regulation Knockout,0
4976,Regulation Knockout,0
4984,Regulation Knockout,0
4992,Regulation Knockout,0
5000,Regulation Knockout,0
5008,Regulation Knockout,0
5016,Regulation Knockout,0
5024,Regulation Knockout,0
5032,Regulation Knockout,0
5040,Regulation Knockout,0
5048,Regulation Knockout,0
5056,Regulation Knockout,0
5064,Regulation Knockout,0
5072,Regulation Knockout,0
5080,Regulation Knockout,0
5088,Regulation Knockout,0
5096,Regulation Knockout,0
5104,Regulation Knockout,0
5112,Regulation Knockout,0
5120,Regulation Knockout,0
5128,Regulation Knockout,0
5136,Regulation Knockout,0
5144,Regulation Knockout,0
5152,Regulation Knockout,0
5160,Regulation Knockout,0
5168,Regulation Knockout,0
5176,Regulation Knockout,0
5184,Regulation Knockout,0
5192,Regulation Knockout,0
5200,Regulation Knockout,0
5208,Regulation Knockout,0
5216,Regulation Knockout,0
5224,Regulation Knockout,0
5232,Regulation Knockout,0
5240,Regulation Knockout,0
5248,Regulation Knockout,0
5256,Regulation Knockout,0
5264,Regulation Knockout,0
5272,Regulation Knockout,0
5280,Regulation Knockout,0
5288,Regulation Knockout,0
5296,Regulation Knockout,0
5304,Regulation Knockout,0
5312,Regulation Knockout,0
5320,Regulation Knockout,0
5328,Regulation Knockout,0
5336,Regulation Knockout,0
5344,Regulation Knockout,0
5352,Regulation Knockout,0
5360,Regulation Knockout,0
5368,Regulation Knockout,0
5376,Regulation Knockout,0
5384,Regulation Knockout,0
5392,Regulation Knockout,0
5400,Regulation Knockout,0
5408,Regulation Knockout,0
5416,Regulation Knockout,2
5424,Regulation Knockout,0
5432,Regulation Knockout,0
5440,Regulation Knockout,0
5448,Regulation Knockout,0
5456,Regulation Knockout,0
5464,Regulation Knockout,0
5472,Regulation Knockout,0
5480,Regulation Knockout,0
5488,Regulation Knockout,0
5496,Regulation Knockout,0
5504,Regulation Knockout,2
5512,Regulation Knockout,1
5520,Regulation Knockout,1
5528,Regulation Knockout,0
5536,Regulation Knockout,0
5544,Regulation Knockout,0
5552,Regulation Knockout,1
5560,Regulation Knockout,0
5568,Regulation Knockout,0
5576,Regulation Knockout,1
5584,Regulation Knockout,0
5592,Regulation Knockout,0
5600,Regulation Knockout,0
5608,Regulation Knockout,0
5616,Regulation Knockout,0
5624,Regulation Knockout,0
5632,Regulation Knockout,0
5640,Regulation Knockout,0
5648,Regulation Knockout,0
5656,Regulation Knockout,0
5664,Regulation Knockout,0
5672,Regulation Knockout,0
5680,Regulation Knockout,0
5688,Regulation Knockout,0
5696,Regulation Knockout,0
5704,Regulation Knockout,0
5712,Regulation Knockout,0
5720,Regulation Knockout,0
5728,Regulation Knockout,0
5736,Regulation Knockout,0
5744,Regulation Knockout,0
5752,Regulation Knockout,0
5760,Regulation Knockout,0
5768,Regulation Knockout,0
5776,Regulation Knockout,0
5784,Regulation Knockout,0
5792,Regulation Knockout,0
5800,Regulation Knockout,0
5808,Regulation Knockout,0
5816,Regulation Knockout,0
5824,Regulation Knockout,0
5832,Regulation Knockout,0
5840,Regulation Knockout,1
5848,Regulation Knockout,2
5856,Regulation Knockout,1
5864,Regulation Knockout,0
5872,Regulation Knockout,0
5880,Regulation Knockout,0
5888,Regulation Knockout,0
5896,Regulation Knockout,0
5904,Regulation Knockout,0
5912,Regulation Knockout,0
5920,Regulation Knockout,0
5928,Regulation Knockout,0
5936,Regulation Knockout,1
5944,Regulation Knockout,1
5952,Regulation Knockout,0
5960,Regulation Knockout,0
5968,Regulation Knockout,0
5976,Regulation Knockout,0
5984,Regulation Knockout,0
5992,Regulation Knockout,0
6000,Regulation Knockout,1
6008,Regulation Knockout,0
6016,Regulation Knockout,0
6024,Regulation Knockout,0
6032,Regulation Knockout,0
6040,Regulation Knockout,0
6048,Regulation Knockout,0
6056,Regulation Knockout,1
6064,Regulation Knockout,0
6072,Regulation Knockout,0
6080,Regulation Knockout,0
6088,Regulation Knockout,1
6096,Regulation Knockout,0
6104,Regulation Knockout,0
6112,Regulation Knockout,0
6120,Regulation Knockout,0
6128,Regulation Knockout,0
6136,Regulation Knockout,0
6144,Regulation Knockout,1
6152,Regulation Knockout,0
6160,Regulation Knockout,0
6168,Regulation Knockout,0
6176,Regulation Knockout,0
6184,Regulation Knockout,0
6192,Regulation Knockout,0
6200,Regulation Knockout,0
6208,Regulation Knockout,0
6216,Regulation Knockout,0
6224,Regulation Knockout,2
6232,Regulation Knockout,0
6240,Regulation Knockout,0
6248,Regulation Knockout,0
6256,Regulation Knockout,0
6264,Regulation Knockout,0
6272,Regulation Knockout,0
6280,Regulation Knockout,0
6288,Regulation Knockout,0
6296,Regulation Knockout,0
6304,Regulation Knockout,0
6312,Regulation Knockout,0
6320,Regulation Knockout,1
6328,Regulation Knockout,0
6336,Regulation Knockout,0
6344,Regulation Knockout,0
6352,Regulation Knockout,0
6360,Regulation Knockout,0
6368,Regulation Knockout,2
6376,Regulation Knockout,0
6384,Regulation Knockout,1
6392,Regulation Knockout,0
6400,Regulation Knockout,0
6408,Regulation Knockout,0
6416,Regulation Knockout,0
6424,Regulation Knockout,2
6432,Regulation Knockout,0
6440,Regulation Knockout,0
6448,Regulation Knockout,0
6456,Regulation Knockout,0
6464,Regulation Knockout,0
6472,Regulation Knockout,1
6480,Regulation Knockout,0
6488,Regulation Knockout,0
6496,Regulation Knockout,0
6504,Regulation Knockout,0
6512,Regulation Knockout,0
6520,Regulation Knockout,0
6528,Regulation Knockout,0
6536,Regulation Knockout,0
6544,Regulation Knockout,0
6552,Regulation Knockout,0
6560,Regulation Knockout,0
6568,Regulation Knockout,0
6576,Regulation Knockout,0
6584,Regulation Knockout,0
6592,Regulation Knockout,0
6600,Regulation Knockout,0
6608,Regulation Knockout,0
6616,Regulation Knockout,0
6624,Regulation Knockout,0
6632,Regulation Knockout,0
6640,Regulation Knockout,0
6648,Regulation Knockout,0
6656,Regulation Knockout,0
6664,Regulation Knockout,0
6672,Regulation Knockout,0
6680,Regulation Knockout,0
6688,Regulation Knockout,0
6696,Regulation Knockout,0
6704,Regulation Knockout,3
6712,Regulation Knockout,4
6720,Regulation Knockout,0
6728,Regulation Knockout,0
6736,Regulation Knockout,0
6744,Regulation Knockout,0
6752,Regulation Knockout,0
6760,Regulation Knockout,0
6768,Regulation Knockout,0
6776,Regulation Knockout,0
6784,Regulation Knockout,0
6792,Regulation Knockout,1
6800,Regulation Knockout,0
6808,Regulation Knockout,0
6816,Regulation Knockout,0
6824,Regulation Knockout,0
6832,Regulation Knockout,1
6840,Regulation Knockout,1
6848,Regulation Knockout,1
6856,Regulation Knockout,0
6864,Regulation Knockout,0
6872,Regulation Knockout,0
6880,Regulation Knockout,0
6888,Regulation Knockout,0
6896,Regulation Knockout,0
6904,Regulation Knockout,0
6912,Regulation Knockout,0
6920,Regulation Knockout,0
6928,Regulation Knockout,1
6936,Regulation Knockout,1
6944,Regulation Knockout,2
6952,Regulation Knockout,1
6960,Regulation Knockout,1
6968,Regulation Knockout,0
6976,Regulation Knockout,0
6984,Regulation Knockout,0
6992,Regulation Knockout,1
7000,Regulation Knockout,0
7008,Regulation Knockout,1
7016,Regulation Knockout,0
7024,Regulation Knockout,0
7032,Regulation Knockout,1
7040,Regulation Knockout,1
7048,Regulation Knockout,0
7056,Regulation Knockout,1
7064,Regulation Knockout,1
7072,Regulation Knockout,1
7080,Regulation Knockout,0
7088,Regulation Knockout,1
7096,Regulation Knockout,0
7104,Regulation Knockout,1
7112,Regulation Knockout,0
7120,Regulation Knockout,2
7128,Regulation Knockout,0
7136,Regulation Knockout,0
7144,Regulation Knockout,0
7152,Regulation Knockout,0
7160,Regulation Knockout,0
7168,Regulation Knockout,1
7176,Regulation Knockout,0
7184,Regulation Knockout,0
7192,Regulation Knockout,0
7200,Regulation Knockout,0
7208,Regulation Knockout,0
7216,Regulation Knockout,0
7224,Regulation Knockout,0
7232,Regulation Knockout,0
7240,Regulation Knockout,0
7248,Regulation Knockout,1
7256,Regulation Knockout,1
7264,Regulation Knockout,0
7272,Regulation Knockout,1
7280,Regulation Knockout,0
7288,Regulation Knockout,0
7296,Regulation Knockout,1
7304,Regulation Knockout,0
7312,Regulation Knockout,0
7320,Regulation Knockout,0
7328,Regulation Knockout,0
7336,Regulation Knockout,0
7344,Regulation Knockout,4
7352,Regulation Knockout,0
7360,Regulation Knockout,0
7368,Regulation Knockout,0
7376,Regulation Knockout,1
7384,Regulation Knockout,1
7392,Regulation Knockout,0
7400,Regulation Knockout,0
7408,Regulation Knockout,0
7416,Regulation Knockout,1
7424,Regulation Knockout,0
7432,Regulation Knockout,1
7440,Regulation Knockout,1
7448,Regulation Knockout,0
7456,Regulation Knockout,0
7464,Regulation Knockout,0
7472,Regulation Knockout,0
7480,Regulation Knockout,0
7488,Regulation Knockout,0
7496,Regulation Knockout,0
7504,Regulation Knockout,1
7512,Regulation Knockout,1
7520,Regulation Knockout,0
7528,Regulation Knockout,0
7536,Regulation Knockout,0
7544,Regulation Knockout,0
7552,Regulation Knockout,1
7560,Regulation Knockout,1
7568,Regulation Knockout,2
7576,Regulation Knockout,0
7584,Regulation Knockout,0
7592,Regulation Knockout,1
7600,Regulation Knockout,0
7608,Regulation Knockout,0
7616,Regulation Knockout,0
7624,Regulation Knockout,1
7632,Regulation Knockout,0
7640,Regulation Knockout,0
7648,Regulation Knockout,2
7656,Regulation Knockout,3
7664,Regulation Knockout,1
7672,Regulation Knockout,0
7680,Regulation Knockout,0
7688,Regulation Knockout,0
7696,Regulation Knockout,1
7704,Regulation Knockout,0
7712,Regulation Knockout,1
7720,Regulation Knockout,0
7728,Regulation Knockout,0
7736,Regulation Knockout,0
7744,Regulation Knockout,0
7752,Regulation Knockout,0
7760,Regulation Knockout,0
7768,Regulation Knockout,0
7776,Regulation Knockout,0
7784,Regulation Knockout,0
7792,Regulation Knockout,0
7800,Regulation Knockout,0
7808,Regulation Knockout,0
7816,Regulation Knockout,0
7824,Regulation Knockout,0
7832,Regulation Knockout,0
7840,Regulation Knockout,0
7848,Regulation Knockout,0
7856,Regulation Knockout,1
7864,Regulation Knockout,0
7872,Regulation Knockout,0
7880,Regulation Knockout,0
7888,Regulation Knockout,0
7896,Regulation Knockout,0
7904,Regulation Knockout,0
7912,Regulation Knockout,0
7920,Regulation Knockout,0
7928,Regulation Knockout,1
7936,Regulation Knockout,0
7944,Regulation Knockout,0
7952,Regulation Knockout,0
7960,Regulation Knockout,0
7968,Regulation Knockout,0
7976,Regulation Knockout,0
7984,Regulation Knockout,0
7992,Regulation Knockout,0
8000,Regulation Knockout,1
8008,Regulation Knockout,0
8016,Regulation Knockout,0
8024,Regulation Knockout,0
8032,Regulation Knockout,0
8040,Regulation Knockout,0
8048,Regulation Knockout,1
8056,Regulation Knockout,0
8064,Regulation Knockout,2
8072,Regulation Knockout,0
8080,Regulation Knockout,1
8088,Regulation Knockout,0
8096,Regulation Knockout,1
8104,Regulation Knockout,0
8112,Regulation Knockout,2
8120,Regulation Knockout,0
8128,Regulation Knockout,0
8136,Regulation Knockout,0
8144,Regulation Knockout,1
8152,Regulation Knockout,0
8160,Regulation Knockout,0
8168,Regulation Knockout,0
8176,Regulation Knockout,0
8184,Regulation Knockout,0
